t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
19.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.217080,0.500000,stable,0.255770,0,0,0,1.618034
19.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.323168,0.500000,stable,0.255773,0,0,0,1.618034
19.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.084231,0.500000,stable,0.158080,0,0,0,1.618034
19.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.832170,0.500000,stable,0.000005,0,0,0,1.618034
19.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.716600,0.500000,stable,0.158071,0,0,0,1.618034
19.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.340565,0.500000,stable,0.255770,0,0,0,1.618034
20,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.548218,0.500000,stable,0.255773,0,0,0,1.618034
20.100000,0.474239,0.268941,1,0,0.000012,1,0.268941,0,387.393752,0.500000,stable,0.158080,0,0,0,1.618034
20.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,385.170883,0.500000,stable,0.000005,0,0,0,1.618034
20.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.963249,0.500000,stable,0.158071,0,0,0,1.618034
20.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.382870,0.500000,stable,0.255770,0,0,0,1.618034
20.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.390659,0.500000,stable,0.255773,0,0,0,1.618034
20.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.166442,0.500000,stable,0.158080,0,0,0,1.618034
20.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,385.021562,0.500000,stable,0.000005,0,0,0,1.618034
20.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.953945,0.500000,stable,0.158071,0,0,0,1.618034
20.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.494523,0.500000,stable,0.255770,0,0,0,1.618034
21,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.594302,0.500000,stable,0.255773,0,0,0,1.618034
21.100000,0.474239,0.268941,1,0,0.000012,1,0.268941,0,387.446673,0.500000,stable,0.158080,0,0,0,1.618034
21.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,385.328430,0.500000,stable,0.000005,0,0,0,1.618034
21.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.177532,0.500000,stable,0.158071,0,0,0,1.618034
